EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,YearlyIncome
1079,21,Travel_Rarely,1334,Research & Development,10,3.0,Life Sciences,3.0,Female,36,2.0,1.0,Laboratory Technician,1.0,Single,1416,17258,1,No,13,3.0,1.0,80,0.0,1,6,2.0,1,0,1,0,1,16992
716,50,Travel_Rarely,1207,Research & Development,28,1.0,Medical,4.0,Male,74,4.0,1.0,Laboratory Technician,3.0,Married,3221,3297,1,Yes,11,3.0,3.0,80,3.0,20,3,3.0,20,8,3,8,0,38652
1837,58,Travel_Frequently,1216,Research & Development,15,4.0,Life Sciences,1.0,Male,87,3.0,4.0,Research Director,3.0,Married,15787,21624,2,Yes,14,3.0,2.0,80,0.0,23,3,3.0,2,2,2,2,0,189444
501,36,Travel_Rarely,329,Research & Development,2,3.0,Life Sciences,4.0,Female,96,3.0,1.0,Research Scientist,3.0,Married,2543,11868,4,No,13,3.0,2.0,80,1.0,6,3,3.0,2,2,2,2,0,30516
288,46,Travel_Rarely,644,Research & Development,1,4.0,Medical,4.0,Male,97,3.0,3.0,Healthcare Representative,1.0,Divorced,9396,12368,7,No,16,3.0,3.0,80,1.0,17,3,3.0,4,2,0,3,0,112752
958,36,Travel_Rarely,938,Research & Development,2,4.0,Medical,3.0,Male,79,3.0,1.0,Laboratory Technician,3.0,Single,2519,12287,4,No,21,4.0,3.0,80,0.0,16,6,3.0,11,8,3,9,0,30228
850,27,Non-Travel,443,Research & Development,3,3.0,Medical,4.0,Male,50,3.0,1.0,Research Scientist,4.0,Married,1706,16571,1,No,11,3.0,3.0,80,3.0,0,6,2.0,0,0,0,0,0,20472
1551,24,Travel_Rarely,350,Research & Development,21,2.0,Technical Degree,3.0,Male,57,2.0,1.0,Laboratory Technician,1.0,Divorced,2296,10036,0,No,14,3.0,2.0,80,3.0,2,3,3.0,1,1,0,0,0,27552
1721,31,Travel_Rarely,741,Research & Development,2,4.0,Life Sciences,2.0,Male,69,3.0,1.0,Laboratory Technician,3.0,Married,3477,18103,1,No,14,3.0,4.0,80,1.0,6,2,4.0,5,2,0,3,0,41724
1949,36,Non-Travel,1351,Research & Development,9,4.0,Life Sciences,1.0,Male,66,4.0,1.0,Laboratory Technician,2.0,Married,2810,9238,1,No,22,4.0,2.0,80,0.0,5,3,3.0,5,4,0,2,0,33720
1797,35,Travel_Rarely,303,Sales,27,3.0,Life Sciences,3.0,Male,84,3.0,2.0,Sales Executive,4.0,Single,5813,13492,1,Yes,18,3.0,4.0,80,0.0,10,2,3.0,10,7,7,7,1,69756
848,26,Travel_Frequently,887,Research & Development,5,2.0,Medical,3.0,Female,88,2.0,1.0,Research Scientist,3.0,Married,2366,20898,1,Yes,14,3.0,1.0,80,1.0,8,2,3.0,8,7,1,7,1,28392
565,29,Travel_Rarely,408,Research & Development,25,5.0,Technical Degree,3.0,Female,71,2.0,1.0,Research Scientist,2.0,Married,2546,18300,5,No,16,3.0,2.0,80,0.0,6,2,4.0,2,2,1,1,1,30552
1739,32,Travel_Rarely,371,Sales,19,3.0,Life Sciences,4.0,Male,80,1.0,3.0,Sales Executive,3.0,Married,9610,3840,3,No,13,3.0,3.0,80,1.0,10,2,1.0,4,3,0,2,0,115320
1670,33,Travel_Rarely,392,Sales,2,4.0,Medical,4.0,Male,93,3.0,2.0,Sales Executive,4.0,Divorced,5505,3921,1,No,14,3.0,3.0,80,2.0,6,5,3.0,6,2,0,4,0,66060
1092,40,Travel_Rarely,1492,Research & Development,20,4.0,Technical Degree,1.0,Male,61,3.0,3.0,Healthcare Representative,4.0,Married,10322,26542,4,No,20,4.0,4.0,80,1.0,14,6,3.0,11,10,11,1,0,123864
140,59,Non-Travel,1420,Human Resources,2,4.0,Human Resources,3.0,Female,32,2.0,5.0,Manager,4.0,Married,18844,21922,9,No,21,4.0,4.0,80,1.0,30,3,3.0,3,2,2,2,0,226128
1640,37,Travel_Rarely,1470,Research & Development,10,3.0,Medical,2.0,Female,71,3.0,1.0,Research Scientist,2.0,Married,3936,9953,1,No,11,3.0,1.0,80,1.0,8,2,1.0,8,4,7,7,0,47232
337,31,Travel_Frequently,1327,Research & Development,3,4.0,Medical,2.0,Male,73,3.0,3.0,Research Director,3.0,Divorced,13675,13523,9,No,12,3.0,1.0,80,1.0,9,3,3.0,2,2,2,2,0,164100
2007,22,Travel_Rarely,581,Research & Development,1,2.0,Life Sciences,4.0,Male,63,3.0,1.0,Research Scientist,3.0,Single,3375,17624,0,No,12,3.0,4.0,80,0.0,4,2,4.0,3,2,1,2,0,40500
1252,31,Travel_Rarely,1062,Research & Development,24,3.0,Medical,3.0,Female,96,2.0,2.0,Healthcare Representative,1.0,Single,6812,17198,1,No,19,3.0,2.0,80,0.0,10,2,3.0,10,9,1,8,0,81744
1449,40,Non-Travel,663,Research & Development,9,4.0,Other,3.0,Male,81,3.0,2.0,Laboratory Technician,3.0,Divorced,3975,23099,3,No,11,3.0,3.0,80,2.0,11,2,4.0,8,7,0,7,0,47700
1419,29,Travel_Rarely,332,Human Resources,17,3.0,Other,2.0,Male,51,2.0,3.0,Human Resources,1.0,Single,7988,9769,1,No,13,3.0,1.0,80,0.0,10,3,2.0,10,9,0,9,0,95856
1340,40,Non-Travel,458,Research & Development,16,2.0,Life Sciences,3.0,Male,74,3.0,1.0,Research Scientist,3.0,Divorced,3544,8532,9,No,16,3.0,2.0,80,1.0,6,0,3.0,4,2,0,0,0,42528
612,33,Travel_Rarely,922,Research & Development,1,5.0,Medical,1.0,Female,95,4.0,4.0,Research Director,3.0,Divorced,16184,22578,4,No,19,3.0,3.0,80,1.0,10,2,3.0,6,1,0,5,0,194208
964,40,Travel_Frequently,1469,Research & Development,9,4.0,Medical,4.0,Male,35,3.0,1.0,Research Scientist,2.0,Divorced,3617,25063,8,Yes,14,3.0,4.0,80,1.0,3,2,3.0,1,1,0,0,0,43404
350,25,Travel_Rarely,685,Research & Development,1,3.0,Life Sciences,1.0,Female,62,3.0,2.0,Manufacturing Director,3.0,Married,4898,7505,0,No,12,3.0,4.0,80,2.0,5,3,3.0,4,2,1,2,0,58776
644,50,Travel_Frequently,1246,Human Resources,3,3.0,Medical,1.0,Male,99,3.0,5.0,Manager,2.0,Married,18200,7999,1,No,11,3.0,3.0,80,1.0,32,2,3.0,32,5,10,7,0,218400
2057,31,Non-Travel,325,Research & Development,5,3.0,Medical,2.0,Male,74,3.0,2.0,Manufacturing Director,1.0,Single,9936,3787,0,No,19,3.0,2.0,80,0.0,10,2,3.0,9,4,1,7,0,119232
51,36,Travel_Rarely,852,Research & Development,5,4.0,Life Sciences,2.0,Female,82,2.0,1.0,Research Scientist,1.0,Married,3419,13072,9,Yes,14,3.0,4.0,80,1.0,6,3,4.0,1,1,0,0,0,41028
1081,51,Travel_Rarely,1323,Research & Development,4,4.0,Life Sciences,1.0,Male,34,3.0,1.0,Research Scientist,3.0,Married,2461,10332,9,Yes,12,3.0,3.0,80,3.0,18,2,4.0,10,0,2,7,1,29532
2038,32,Travel_Rarely,529,Research & Development,2,3.0,Technical Degree,4.0,Male,78,3.0,1.0,Research Scientist,1.0,Single,2439,11288,1,No,14,3.0,4.0,80,0.0,4,4,3.0,4,2,1,2,0,29268
1480,42,Travel_Frequently,748,Research & Development,9,2.0,Medical,1.0,Female,74,3.0,1.0,Laboratory Technician,4.0,Single,3673,16458,1,No,13,3.0,3.0,80,0.0,12,3,3.0,12,9,5,8,0,44076
1046,32,Non-Travel,1109,Research & Development,29,4.0,Medical,4.0,Female,69,3.0,1.0,Laboratory Technician,3.0,Single,4025,11135,9,No,12,3.0,2.0,80,0.0,10,2,3.0,8,7,7,7,0,48300
729,40,Travel_Frequently,580,Sales,5,4.0,Life Sciences,4.0,Male,48,2.0,3.0,Sales Executive,1.0,Married,10475,23772,5,Yes,21,4.0,3.0,80,1.0,20,2,3.0,18,13,1,12,0,125700
98,31,Travel_Rarely,746,Research & Development,8,4.0,Life Sciences,3.0,Female,61,3.0,2.0,Manufacturing Director,4.0,Single,4424,20682,1,No,23,4.0,4.0,80,0.0,11,2,3.0,11,7,1,8,0,53088
1379,31,Travel_Frequently,703,Sales,2,3.0,Life Sciences,3.0,Female,90,2.0,1.0,Sales Representative,4.0,Single,2785,11882,7,No,14,3.0,3.0,80,0.0,3,3,4.0,1,0,0,0,1,33420
1706,43,Travel_Rarely,1179,Sales,2,3.0,Medical,4.0,Male,73,3.0,2.0,Sales Executive,4.0,Married,7847,6069,1,Yes,17,3.0,1.0,80,1.0,10,3,3.0,10,9,8,8,0,94164
1405,27,Travel_Rarely,135,Research & Development,17,4.0,Life Sciences,4.0,Female,51,3.0,1.0,Research Scientist,3.0,Single,2394,25681,1,Yes,13,3.0,4.0,80,0.0,8,2,3.0,8,2,7,7,1,28728
1945,35,Travel_Rarely,682,Sales,18,4.0,Medical,2.0,Male,71,3.0,2.0,Sales Executive,1.0,Married,5561,15975,0,No,16,3.0,4.0,80,1.0,6,2,1.0,5,3,0,4,0,66732
484,21,Non-Travel,895,Sales,9,2.0,Medical,1.0,Male,39,3.0,1.0,Sales Representative,4.0,Single,2610,2851,1,No,24,4.0,3.0,80,0.0,3,3,2.0,3,2,2,2,0,31320
638,49,Travel_Rarely,1245,Research & Development,18,4.0,Life Sciences,4.0,Male,58,2.0,5.0,Research Director,3.0,Divorced,19502,2125,1,Yes,17,3.0,3.0,80,1.0,31,5,3.0,31,9,0,9,0,234024
376,47,Non-Travel,666,Research & Development,29,4.0,Life Sciences,1.0,Male,88,3.0,3.0,Manager,2.0,Married,11849,10268,1,Yes,12,3.0,4.0,80,1.0,10,2,2.0,10,7,9,9,1,142188
1553,45,Travel_Rarely,538,Research & Development,1,4.0,Technical Degree,1.0,Male,66,3.0,3.0,Healthcare Representative,2.0,Divorced,7441,20933,1,No,12,3.0,1.0,80,3.0,10,4,3.0,10,8,7,7,0,89292
1212,40,Travel_Frequently,1184,Sales,2,4.0,Medical,2.0,Male,62,3.0,2.0,Sales Executive,2.0,Married,4327,25440,5,No,12,3.0,4.0,80,3.0,5,2,3.0,0,0,0,0,0,51924
961,31,Travel_Rarely,616,Research & Development,12,3.0,Medical,4.0,Female,41,3.0,2.0,Healthcare Representative,4.0,Married,5855,17369,0,Yes,11,3.0,3.0,80,2.0,10,2,1.0,9,7,8,5,0,70260
1294,36,Travel_Rarely,429,Research & Development,2,4.0,Life Sciences,3.0,Female,53,3.0,2.0,Manufacturing Director,2.0,Single,5410,2323,9,Yes,11,3.0,4.0,80,0.0,18,2,3.0,16,14,5,12,0,64920
1103,34,Travel_Frequently,618,Research & Development,3,1.0,Life Sciences,1.0,Male,45,3.0,2.0,Healthcare Representative,4.0,Single,7756,22266,0,No,17,3.0,3.0,80,0.0,7,1,2.0,6,2,0,4,0,93072
1980,54,Travel_Rarely,157,Research & Development,10,3.0,Medical,3.0,Female,77,3.0,2.0,Manufacturing Director,1.0,Single,4440,25198,6,Yes,19,3.0,4.0,80,0.0,9,3,3.0,5,2,1,4,0,53280
981,53,Travel_Rarely,1376,Sales,2,2.0,Medical,3.0,Male,45,3.0,4.0,Manager,3.0,Divorced,14852,13938,6,No,13,3.0,3.0,80,1.0,22,3,4.0,17,13,15,2,0,178224
936,42,Travel_Rarely,462,Sales,14,2.0,Medical,3.0,Female,68,2.0,2.0,Sales Executive,3.0,Single,6244,7824,7,No,17,3.0,1.0,80,0.0,10,6,3.0,5,4,0,3,0,74928
308,31,Non-Travel,979,Research & Development,1,4.0,Medical,3.0,Male,90,1.0,2.0,Manufacturing Director,3.0,Married,4345,4381,0,No,12,3.0,4.0,80,1.0,6,2,3.0,5,4,1,4,0,52140
1380,35,Travel_Frequently,662,Sales,18,4.0,Marketing,4.0,Female,67,3.0,2.0,Sales Executive,3.0,Married,4614,23288,0,Yes,18,3.0,3.0,80,1.0,5,0,2.0,4,2,3,2,1,55368
1210,41,Non-Travel,906,Research & Development,5,2.0,Life Sciences,1.0,Male,95,2.0,1.0,Research Scientist,1.0,Divorced,2107,20293,6,No,17,3.0,1.0,80,1.0,5,2,1.0,1,0,0,0,1,25284
235,19,Travel_Frequently,602,Sales,1,1.0,Technical Degree,3.0,Female,100,1.0,1.0,Sales Representative,1.0,Single,2325,20989,0,No,21,4.0,1.0,80,0.0,1,5,4.0,0,0,0,0,1,27900
859,32,Travel_Rarely,117,Sales,13,4.0,Life Sciences,2.0,Male,73,3.0,2.0,Sales Executive,4.0,Divorced,4403,9250,2,No,11,3.0,3.0,80,1.0,8,3,2.0,5,2,0,3,0,52836
1042,36,Travel_Rarely,885,Research & Development,16,4.0,Life Sciences,3.0,Female,43,4.0,1.0,Laboratory Technician,1.0,Single,2743,8269,1,No,16,3.0,3.0,80,0.0,18,1,3.0,17,13,15,14,1,32916
882,32,Non-Travel,300,Research & Development,1,3.0,Life Sciences,4.0,Male,61,3.0,1.0,Laboratory Technician,4.0,Divorced,2314,9148,0,No,12,3.0,2.0,80,1.0,4,2,3.0,3,0,0,2,0,27768
1657,20,Travel_Rarely,1141,Sales,2,3.0,Medical,3.0,Female,31,3.0,1.0,Sales Representative,3.0,Single,2783,13251,1,No,19,3.0,1.0,80,0.0,2,3,3.0,2,2,2,2,0,33396
1118,52,Travel_Rarely,994,Research & Development,7,4.0,Life Sciences,2.0,Male,87,3.0,3.0,Healthcare Representative,2.0,Single,10445,15322,7,No,19,3.0,4.0,80,0.0,18,4,3.0,8,6,4,0,0,125340
984,35,Travel_Rarely,882,Sales,3,4.0,Life Sciences,4.0,Male,92,3.0,3.0,Sales Executive,4.0,Divorced,7823,6812,6,No,13,3.0,2.0,80,1.0,12,2,3.0,10,9,0,8,0,93876
1241,30,Travel_Rarely,1465,Research & Development,1,3.0,Medical,4.0,Male,63,3.0,1.0,Research Scientist,2.0,Married,3579,9369,0,Yes,21,4.0,1.0,80,1.0,12,2,3.0,11,9,5,7,0,42948
1775,53,Non-Travel,661,Research & Development,1,4.0,Medical,1.0,Female,60,2.0,4.0,Manufacturing Director,3.0,Married,12965,22308,4,Yes,20,4.0,4.0,80,3.0,27,2,2.0,3,2,0,2,0,155580
1903,44,Travel_Rarely,170,Research & Development,1,4.0,Life Sciences,2.0,Male,78,4.0,2.0,Healthcare Representative,1.0,Married,5033,9364,2,No,15,3.0,4.0,80,1.0,10,5,3.0,2,0,2,2,0,60396
410,41,Travel_Rarely,334,Sales,2,4.0,Life Sciences,4.0,Male,88,3.0,4.0,Manager,2.0,Single,16015,15896,1,No,19,3.0,2.0,80,0.0,22,2,3.0,22,10,0,4,0,192180
1101,33,Travel_Frequently,827,Research & Development,29,4.0,Medical,1.0,Female,54,2.0,2.0,Research Scientist,3.0,Single,4508,3129,1,No,22,4.0,2.0,80,0.0,14,4,3.0,13,7,3,8,1,54096
1304,32,Travel_Rarely,604,Sales,8,3.0,Medical,3.0,Male,56,4.0,2.0,Sales Executive,4.0,Married,6209,11693,1,No,15,3.0,3.0,80,2.0,10,4,4.0,10,7,0,8,0,74508
319,42,Travel_Rarely,532,Research & Development,4,2.0,Technical Degree,3.0,Male,58,3.0,5.0,Manager,4.0,Married,19232,4933,1,No,11,3.0,4.0,80,0.0,22,3,3.0,22,17,11,15,0,230784
420,32,Travel_Rarely,906,Sales,7,3.0,Life Sciences,4.0,Male,91,2.0,2.0,Sales Executive,3.0,Married,5484,16985,1,No,14,3.0,3.0,80,1.0,13,3,2.0,13,8,4,8,0,65808
723,50,Travel_Frequently,562,Sales,8,2.0,Technical Degree,2.0,Male,50,3.0,2.0,Sales Executive,3.0,Married,6796,23452,3,Yes,14,3.0,1.0,80,1.0,18,4,3.0,4,3,1,3,1,81552
1440,37,Non-Travel,1413,Research & Development,5,2.0,Technical Degree,3.0,Male,84,4.0,1.0,Laboratory Technician,3.0,Single,3500,25470,0,No,14,3.0,1.0,80,0.0,7,2,1.0,6,5,1,3,0,42000
833,30,Travel_Rarely,946,Research & Development,2,3.0,Medical,3.0,Female,52,2.0,2.0,Manufacturing Director,4.0,Single,6877,20234,5,Yes,24,4.0,2.0,80,0.0,12,4,2.0,0,0,0,0,0,82524
1599,43,Travel_Rarely,990,Research & Development,27,3.0,Technical Degree,4.0,Male,87,4.0,1.0,Laboratory Technician,2.0,Divorced,4876,5855,5,No,12,3.0,3.0,80,1.0,8,0,3.0,6,4,0,2,0,58512
972,45,Non-Travel,805,Research & Development,4,2.0,Life Sciences,3.0,Male,57,3.0,2.0,Laboratory Technician,2.0,Married,4447,23163,1,No,12,3.0,2.0,80,0.0,9,5,2.0,9,7,0,8,0,53364
476,26,Travel_Rarely,933,Sales,1,3.0,Life Sciences,3.0,Male,57,3.0,2.0,Sales Executive,3.0,Married,5296,20156,1,No,17,3.0,2.0,80,1.0,8,3,3.0,8,7,7,7,0,63552
766,29,Travel_Rarely,1090,Sales,10,3.0,Marketing,4.0,Male,83,3.0,1.0,Sales Representative,2.0,Divorced,2297,17967,1,No,14,3.0,4.0,80,2.0,2,2,3.0,2,2,2,2,0,27564
1273,25,Travel_Frequently,599,Sales,24,1.0,Life Sciences,3.0,Male,73,1.0,1.0,Sales Representative,4.0,Single,1118,8040,1,Yes,14,3.0,4.0,80,0.0,1,4,3.0,1,0,1,0,1,13416
1401,52,Travel_Frequently,322,Research & Development,28,2.0,Medical,4.0,Female,59,4.0,4.0,Manufacturing Director,3.0,Married,13247,9731,2,Yes,11,3.0,2.0,80,1.0,24,3,2.0,5,3,0,2,0,158964
1573,38,Travel_Rarely,903,Research & Development,2,3.0,Medical,3.0,Male,81,3.0,2.0,Manufacturing Director,2.0,Married,4855,7653,4,No,11,3.0,1.0,80,2.0,7,2,3.0,5,2,1,4,1,58260
1289,34,Travel_Frequently,648,Human Resources,11,3.0,Life Sciences,3.0,Male,56,2.0,2.0,Human Resources,2.0,Married,4490,21833,4,No,11,3.0,4.0,80,2.0,14,5,4.0,10,9,1,8,0,53880
722,32,Travel_Rarely,929,Sales,10,3.0,Marketing,4.0,Male,55,3.0,2.0,Sales Executive,4.0,Single,5396,21703,1,No,12,3.0,4.0,80,0.0,10,2,2.0,10,7,0,8,0,64752
224,27,Non-Travel,1450,Research & Development,3,3.0,Medical,3.0,Male,79,2.0,1.0,Research Scientist,3.0,Divorced,2566,25326,1,Yes,15,3.0,4.0,80,1.0,1,2,2.0,1,1,0,1,0,30792
116,51,Travel_Rarely,432,Research & Development,9,4.0,Life Sciences,4.0,Male,96,3.0,1.0,Laboratory Technician,4.0,Married,2075,18725,3,No,23,4.0,2.0,80,2.0,10,4,3.0,4,2,0,3,0,24900
385,50,Travel_Rarely,797,Research & Development,4,1.0,Life Sciences,1.0,Male,96,3.0,5.0,Research Director,2.0,Divorced,19144,15815,3,No,14,3.0,1.0,80,2.0,28,4,2.0,10,4,1,6,0,229728
193,38,Travel_Rarely,364,Research & Development,3,5.0,Technical Degree,4.0,Female,32,3.0,2.0,Research Scientist,3.0,Single,4317,2302,3,Yes,20,4.0,2.0,80,0.0,19,2,3.0,3,2,2,2,0,51804
1974,31,Travel_Rarely,1276,Research & Development,2,1.0,Medical,4.0,Female,59,1.0,1.0,Laboratory Technician,4.0,Divorced,1129,17536,1,Yes,11,3.0,3.0,80,3.0,1,4,3.0,1,0,0,0,0,13548
488,41,Travel_Frequently,143,Sales,4,3.0,Marketing,1.0,Male,56,3.0,2.0,Sales Executive,2.0,Single,9355,9558,1,No,18,3.0,3.0,80,0.0,8,5,3.0,8,7,7,7,1,112260
1931,27,Travel_Rarely,1354,Research & Development,2,4.0,Technical Degree,2.0,Male,41,3.0,1.0,Research Scientist,2.0,Married,2226,6073,1,No,11,3.0,3.0,80,1.0,6,3,2.0,5,3,1,2,0,26712
1667,35,Travel_Frequently,880,Sales,12,4.0,Other,4.0,Male,36,3.0,2.0,Sales Executive,4.0,Single,4581,10414,3,Yes,24,4.0,1.0,80,0.0,13,2,4.0,11,9,6,7,1,54972
1756,33,Non-Travel,1283,Sales,2,3.0,Marketing,4.0,Female,62,3.0,2.0,Sales Executive,2.0,Single,5147,10697,8,No,15,3.0,4.0,80,0.0,13,2,2.0,11,7,1,7,0,61764
662,38,Travel_Rarely,362,Research & Development,1,1.0,Life Sciences,3.0,Female,43,3.0,1.0,Research Scientist,1.0,Single,2619,14561,3,No,17,3.0,4.0,80,0.0,8,3,2.0,0,0,0,0,0,31428
1055,34,Travel_Rarely,1333,Sales,10,4.0,Life Sciences,3.0,Female,87,3.0,1.0,Sales Representative,3.0,Married,2220,18410,1,Yes,19,3.0,4.0,80,1.0,1,2,3.0,1,1,0,0,0,26640
1012,18,Non-Travel,287,Research & Development,5,2.0,Life Sciences,2.0,Male,73,3.0,1.0,Research Scientist,4.0,Single,1051,13493,1,No,15,3.0,4.0,80,0.0,0,2,3.0,0,0,0,0,0,12612
712,48,Travel_Rarely,817,Sales,2,1.0,Marketing,2.0,Male,56,4.0,2.0,Sales Executive,2.0,Married,8120,18597,3,No,12,3.0,4.0,80,0.0,12,3,3.0,2,2,2,2,0,97440
1801,46,Non-Travel,849,Sales,26,2.0,Life Sciences,2.0,Male,98,2.0,2.0,Sales Executive,2.0,Single,7991,25166,8,No,15,3.0,3.0,80,0.0,6,3,3.0,2,2,2,2,0,95892
1321,30,Travel_Rarely,634,Research & Development,17,4.0,Medical,2.0,Female,95,3.0,3.0,Manager,1.0,Married,11916,25927,1,Yes,23,4.0,4.0,80,2.0,9,2,3.0,9,1,0,8,0,142992
1115,34,Non-Travel,697,Research & Development,3,4.0,Life Sciences,3.0,Male,40,2.0,1.0,Research Scientist,4.0,Married,2979,22478,3,No,17,3.0,4.0,80,3.0,6,2,3.0,0,0,0,0,0,35748
1719,45,Travel_Rarely,1005,Research & Development,28,2.0,Technical Degree,4.0,Female,48,2.0,4.0,Research Director,2.0,Single,16704,17119,1,No,11,3.0,3.0,80,0.0,21,2,3.0,21,6,8,6,0,200448
515,37,Travel_Rarely,1107,Research & Development,14,3.0,Life Sciences,4.0,Female,95,3.0,1.0,Laboratory Technician,1.0,Divorced,3034,26914,1,No,12,3.0,3.0,80,1.0,18,2,2.0,18,7,12,17,0,36408
828,28,Travel_Rarely,890,Research & Development,2,4.0,Medical,3.0,Male,46,3.0,1.0,Research Scientist,3.0,Single,4382,16374,6,No,17,3.0,4.0,80,0.0,5,3,2.0,2,2,2,1,1,52584
1482,30,Non-Travel,990,Research & Development,7,3.0,Technical Degree,3.0,Male,64,3.0,1.0,Research Scientist,3.0,Divorced,1274,7152,1,No,13,3.0,2.0,80,2.0,1,2,2.0,1,0,0,0,0,15288
2017,37,Travel_Rarely,161,Research & Development,10,3.0,Life Sciences,3.0,Female,42,4.0,3.0,Research Director,4.0,Married,13744,15471,1,Yes,25,4.0,1.0,80,1.0,16,2,3.0,16,11,6,8,0,164928
438,31,Travel_Rarely,691,Sales,7,3.0,Marketing,4.0,Male,73,3.0,2.0,Sales Executive,4.0,Divorced,7547,7143,4,No,12,3.0,4.0,80,3.0,13,3,3.0,7,7,1,7,0,90564
902,43,Travel_Frequently,422,Research & Development,1,3.0,Life Sciences,4.0,Female,33,3.0,2.0,Healthcare Representative,4.0,Married,5562,21782,4,No,13,3.0,2.0,80,1.0,12,2,2.0,5,2,2,2,0,66744
1800,39,Travel_Rarely,1253,Research & Development,10,1.0,Medical,3.0,Male,65,3.0,3.0,Research Director,3.0,Single,13464,7914,7,No,21,4.0,3.0,80,0.0,9,3,3.0,4,3,2,2,0,161568
546,52,Travel_Rarely,1490,Research & Development,4,2.0,Life Sciences,4.0,Female,30,3.0,4.0,Manager,4.0,Married,16555,10310,2,No,13,3.0,4.0,80,0.0,31,2,1.0,5,2,1,4,0,198660
1314,46,Travel_Rarely,991,Human Resources,1,2.0,Life Sciences,4.0,Female,44,3.0,1.0,Human Resources,1.0,Single,3423,22957,6,No,12,3.0,3.0,80,0.0,10,3,4.0,7,6,5,7,0,41076
593,22,Travel_Frequently,1368,Research & Development,4,1.0,Technical Degree,3.0,Male,99,2.0,1.0,Laboratory Technician,3.0,Single,3894,9129,5,No,16,3.0,3.0,80,0.0,4,3,3.0,2,2,1,2,1,46728
500,51,Travel_Rarely,1178,Sales,14,2.0,Life Sciences,3.0,Female,87,3.0,2.0,Sales Executive,4.0,Married,4936,14862,4,No,11,3.0,3.0,80,1.0,18,2,2.0,7,7,0,7,0,59232
1554,35,Travel_Rarely,1402,Sales,28,4.0,Life Sciences,2.0,Female,98,2.0,1.0,Sales Representative,3.0,Married,2430,26204,0,No,23,4.0,1.0,80,2.0,6,5,3.0,5,3,4,2,0,29160
1352,51,Travel_Rarely,770,Human Resources,5,3.0,Life Sciences,3.0,Male,84,3.0,4.0,Manager,2.0,Divorced,14026,17588,1,Yes,11,3.0,2.0,80,1.0,33,2,3.0,33,9,0,10,0,168312
986,40,Non-Travel,1479,Sales,24,3.0,Life Sciences,2.0,Female,100,4.0,4.0,Sales Executive,2.0,Single,13194,17071,4,Yes,16,3.0,4.0,80,0.0,22,2,2.0,1,0,0,0,1,158328
1771,33,Non-Travel,775,Research & Development,4,3.0,Technical Degree,4.0,Male,90,3.0,2.0,Research Scientist,2.0,Divorced,3055,6194,5,No,15,3.0,4.0,80,2.0,11,2,2.0,9,8,1,7,0,36660
1423,58,Travel_Rarely,1055,Research & Development,1,3.0,Medical,4.0,Female,76,3.0,5.0,Research Director,1.0,Married,19701,22456,3,Yes,21,4.0,3.0,80,1.0,32,3,3.0,9,8,1,5,0,236412
316,52,Travel_Rarely,1323,Research & Development,2,3.0,Life Sciences,3.0,Female,89,2.0,1.0,Laboratory Technician,4.0,Single,3212,3300,7,No,15,3.0,2.0,80,0.0,6,3,2.0,2,2,2,2,0,38544
601,40,Travel_Rarely,302,Research & Development,6,3.0,Life Sciences,2.0,Female,75,3.0,4.0,Manufacturing Director,3.0,Single,13237,20364,7,No,15,3.0,3.0,80,0.0,22,3,3.0,20,6,5,13,0,158844
851,51,Travel_Rarely,1318,Sales,26,4.0,Marketing,1.0,Female,66,3.0,4.0,Manager,3.0,Married,16307,5594,2,No,14,3.0,3.0,80,1.0,29,2,2.0,20,6,4,17,0,195684
2065,49,Travel_Frequently,1023,Sales,2,3.0,Medical,4.0,Male,63,2.0,2.0,Sales Executive,2.0,Married,5390,13243,2,No,14,3.0,4.0,80,0.0,17,3,2.0,9,6,0,8,0,64680
904,37,Non-Travel,1252,Sales,19,2.0,Medical,1.0,Male,32,3.0,3.0,Sales Executive,2.0,Single,7642,4814,1,Yes,13,3.0,4.0,80,0.0,10,2,3.0,10,0,0,9,0,91704
431,49,Travel_Rarely,1091,Research & Development,1,2.0,Technical Degree,3.0,Female,90,2.0,4.0,Healthcare Representative,3.0,Single,13964,17810,7,Yes,12,3.0,4.0,80,0.0,25,2,3.0,7,1,0,7,0,167568
1360,58,Travel_Rarely,601,Research & Development,7,4.0,Medical,3.0,Female,53,2.0,3.0,Manufacturing Director,1.0,Married,10008,12023,7,Yes,14,3.0,4.0,80,0.0,31,0,2.0,10,9,5,9,1,120096
1497,29,Travel_Rarely,1246,Sales,19,3.0,Life Sciences,3.0,Male,77,2.0,2.0,Sales Executive,3.0,Divorced,8620,23757,1,No,14,3.0,3.0,80,2.0,10,3,3.0,10,7,0,4,0,103440
